;fcitx Version 0x03 Table file
键码=abcdefghijklmnopqrstuvwxyz;
码长=4
[组词规则]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[数据]
bcl 不错了
bcle 报了
bclg 爆冷
bcli 暴力
bclj 包揽
bclk 不辞劳苦
bcln 爆料
bclo 包罗
bclp 爆裂
bclq 保留
bclr 暴乱
bclu 暴露
bclw 堡垒
bcma 宝马
bcmb 百辞莫辩
bcmi 保密
bcmj 饱满
bcmk 报名
bcmo 薄膜
bcmu 保姆
bcmw 胞妹
bcnr 保暖
bcnt 暴虐
bcnu 暴怒
bcpg 爆棚
bcpj 报盘
bcpi 报批
bcpn 包票
bcpm 薄片
bcpo 爆破
bcpw 包赔
bcqm 抱歉
bcqi 抱起
bcqk 报请
bcqr 保全
bcqu 抱屈
bcrf 保人
bcrs 包容
bcss 报送
bcsh 报丧
bcsi 暴死
bcth 煲汤
bcta 宝塔
bctd 爆胎
bctj 报摊
bctk 报亭
bctn 暴跳
bctr 抱团
bctu 暴徒
bctz 包头
bcud 暴晒
bcue 报社
bcuf 报审
bcuh 报上
bcui 宝石
bcuj 宝山
bcuq 抱残守缺
bcuu 报数
bcuv 报税
bcuz 保守
bcva 爆炸
bcve 抱着
bcvf 抱枕
bcvg 保证
bcvh 保障
bcvi 报纸
bcvj 报站
bcvl 包装
bcvs 保重
bcvu 抱住
bcvy 保准
bcvz 煲粥
bcwf 保温
bcwn 博茨瓦纳
bcwu 宝物
bcww 包围
bcxb 报信
bcxi 报喜
bcxk 暴行
bcxl 包厢
bcxm 保险
bcxn 报销
bcxq 保修
bcxs 胞兄
bcxt 暴雪
bcxx 包下
bcya 龅牙
bcyh 保养
bcyi 报以
bcyk 报应
bcyr 抱怨
bcyt 包月
bcyu 暴雨
bcyz 保佑
bcza 包扎
bczc 暴躁
bczg 暴增
bczh 宝藏
bczi 包子
bczo 宝座
bczu 包租
bdb 不得不
bdbc 百宝
bdbd 拜拜
bdbi 败笔
bdbj 白班
bdbk 百病
bdbl 宝刀不老
bdbm 百变
bdbp 拜别
bdbq 百毒不侵
bdbt 不得不低头
bdbu 摆布
bdbw 百倍
bdbx 不大不小
bdby 百读不厌
bdcd 白菜
bdcc 百草
bdcu 白醋
bddj 不单单
bddc 拜倒
bddd 白带
bddi 白底
bddk 白丁
bddm 白点
bdds 摆动
bddt 不登大雅之堂
bddu 百度
bdev 不得而知
bdei 背道而驰
bdeq 拔地而起
bdfa 白发
bdff 百分
bdfh 拜访
bdfj 白饭
bdfo 拜佛
bdfw 白费
bdfg 白癜风
bdgj 白干
bdgs 白宫
bdge 白鸽
bdgl 白光
bdgr 百官
bdgo 白果
bdgu 白骨
bdhc 摆好
bdhe 百合
bdhk 败坏
bdho 百货
bdhs 不得好死
bdhu 白虎
bdhv 拜会
bdhx 白话
bdij 不动产
bdii 白痴
bdih 不到长城非好汉
bdir 百川
bdiu 摆出
bdj 不对劲
bdjb 白金
bdjg 兵多将广
bdji 败绩
bdjk 白净
bdjm 摆件
bdjq 白酒
bdjr 白卷
bdju 败局
bdjx 败家
bdjy 败军
bdjw 不懂就问
bdkd 掰开
bdke 百科
bdkh 遍地开花
bdkn 不大可能
bdko 摆阔
bdln 不得了
bdli 背地里
bdle 白了
bdlg 布达拉宫
bdlk 白领
bdlm 白脸
bdll 不得了了
bdlo 败落
bdlu 败露
bdlw 败类
bdma 白马
bdmc 白猫
bdmh 白忙
bdmi 百米
bdmj 摆满
bdmk 摆明
bdmm 白面
bdmn 白描
bdmo 白沫
bdmd 不达目的
bdnm 百年
bdnf 白嫩
bdnn 百鸟
bdns 摆弄
bdnl 表达能力
bdpk 摆平
bdpu 摆谱
bdq 不定期
bdqf 不得其法
bdql 百强
bdqs 不得其所
bdqx 北斗七星
bdrf 白人
bdri 白日
bdrx 不得人心
bdrz 白肉
bdru 不动如山
bdsr 不打算
bdse 白色
bdsi 冰冻三尺
bdsh 冰冻三尺，非一日之寒
bdss 白送
bdsu 败诉
bdsv 百岁
bdtd 百态
bdth 白糖
bdtj 摆摊
bdtm 白天
bdtn 白条
bdto 拜托
bdtu 白兔
bdtv 败退
bdtz 白头
bdtg 不断提高
bdti 拔得头筹
bdua 白纱
bdue 摆设
bduh 摆上
bdui 拜师
bduj 拜山
bduo 白说
bdus 不动声色
bduv 不得善终
bduz 拜寿
bdvf 别当真
bdvc 百兆
bdve 摆着
bdvg 摆正
bdvh 败仗
bdvi 白纸
bdvz 白昼
bdvd 不懂装懂
bdw 本单位
bdwj 百万
bdwl 宝刀未老
bdww 百位
bdx 北斗星
bdxi 白皙
bdxk 百姓
bdxm 白线
bdxp 拜谢
bdxt 白雪
bdxv 拔刀相助
bdy 不等于
bdyb 白银
bdyc 白药
bdyh 白羊
bdyi 不得已
bdyj 白眼
bdyl 弊大于利
bdyr 百元
bdyu 白玉
bdyv 步调一致
bdyy 白云
bdyk 不答应
bdz 半吊子
bdzd 摆在
bdzi 白字
bdzo 白做
bdzu 白族
bdzv 不打自招
bdzz 败走
bebj 避而不见
bebt 避而不谈
befm 不二法门
begj 巴尔干
bels 白俄罗斯
beuk 布尔什维克
bevx 不二之选
bevk 巴尔扎克
bfan 本案
bfbm 不方便
bfbf 笨笨
bfbn 本表
bfbo 奔波
bfbu 本部
bfbd 百分百
bfbi 百分比
bfbv 百发百中
bfcc 白发苍苍
bfci 本次
bfcz 不复存在
bfcu 不负此生
bfdh 本当
bfdi 本地
bfdj 笨蛋
bfdx 百废待兴
bfff 本分
bffh 奔放
bffu 奔赴
bfgd 本该
bfgo 本国
bfhc 百分号
bfhh 本行
bfhu 暴发户
bfii 奔驰
bfih 本场
bfil 不费吹灰之力
bfiu 奔出
bfjb 本金
bfji 本季
bfjp 本届
bfjq 本就
bfjx 本家
bfke 本科
bfkj 本刊
bfku 白费口舌
bfld 本来
bflk 本领
bflq 白费力气
bflw 本类
bfly 本轮
bfmk 本名
bfmf 本门
bfng 本能
bfnm 本年
bfnn 笨鸟
bfpc 奔跑
bfpn 本票
bfq 不服气
bfqb 不分青红皂白
bfqi 本期
bfqm 本钱
bfqr 不乏其人
bfrf 本人
bfri 本日
bfse 本色
bfsh 奔丧
bfst 不负所托
bftg 奔腾
bftc 奔逃
bfti 本体
bftm 本田
bftn 本条
bftu 本土
bfty 悲愤填膺
bfuo 比方说
bfuf 本身
bfug 本省
bfui 本事
bfur 贲
bfuh 不负韶华
bfvb 百分之百
bfve 本着
bfvi 本质
bfvj 本站
bfvo 笨拙
bfvs 笨重
bfvt 不法之徒
bfvu 笨猪
bfvw 不负众望
bfvy 百分之一
bfvz 本周
bfwf 本文
bfwu 本无
bfww 本位
